SampleID	X	Y	Size	Estimation.Type	fore_Green	back_Green	fore_Red	back_Red	Signal.to.Noise	Pvalue	FDR	Out.Index	Other.Spots	Cells
1772-067-038_C10	158	232	49	Chip.Pattern-based	27.99667215	22.80825537	15.48589971	13.23489686	0.284425431	0.999999808	1	confidence	0	0
1772-067-038_C11	158	262	28	Fluorescence-based	44.68578	22.6503	105.48542	13.24879	2.90174459	1.99E-06	1.05E-05	confidence	0	1
1772-067-038_C12	160	229	14	Fluorescence-based	220.99666	22.62698	190.50259	13.41404	3.7318172	5.47E-04	9.81E-04	confidence	0	1
1772-067-038_D01	165	258	16	Fluorescence-based	151.87027	22.98517	159.12273	13.47342	3.46770044	2.40E-04	4.72E-04	confidence	0	1
1772-067-038_D02	166	228	20	Fluorescence-based	98.02313	22.91093	21.56108	13.36682	2.05009531	4.76E-05	1.19E-04	confidence	0	1
1772-067-038_D03	166	262	17	Fluorescence-based	65.01464	22.47498	140.66438	13.29664	3.30872933	1.60E-04	3.29E-04	confidence	0	1
1772-067-038_D04	161	258	23	Fluorescence-based	181.01485	22.93713	87.74213	13.35222	2.92673374	1.43E-05	4.88E-05	confidence	0	1
1772-067-038_D05	136	237	49	Chip.Pattern-based	24.10924156	22.44700446	15.4773229	13.07003897	0.22785554	0.999999959	1	confidence	0	0
1772-067-038_D06	157	255	13	Fluorescence-based	60.69359149	22.69922804	355.3409326	13.52453299	4.616694532	0.000828124	0.001439542	confidence	0	0
1772-067-038_D07	165	221	20	Fluorescence-based	124.01004	22.88544	45.54733	13.30501	2.38784049	9.54E-07	5.86E-06	confidence	0	1
1772-067-038_D08	166	256	49	Fluorescence-based	26.00123	22.81566	32.51909	13.09588	1.24970961	6.19E-04	1.10E-03	confidence	0	1
1772-067-038_D09	169	227	20	Fluorescence-based	242.76206	22.61525	208.94722	13.37962	3.86792946	4.76E-05	1.19E-04	confidence	0	1
1772-067-038_D10	159	222	22	Fluorescence-based	36.55083	22.39677	91.19199	13.13816	2.70504665	2.14E-05	6.47E-05	confidence	0	1
1772-067-038_D11	160	254	18	Fluorescence-based	33.46753	22.7781	99.24291	13.17252	2.82233204	3.81E-06	1.78E-05	confidence	0	1
1772-067-038_D12	159	219	26	Fluorescence-based	93.66054277	22.55864844	154.0057061	13.38107593	3.430077804	4.3945E-06	1.91359E-05	confidence	0	0
1772-067-038_E01	172	250	24	Fluorescence-based	34.76121	22.50753	67.63681	13.17673	2.27545771	9.64E-06	3.52E-05	confidence	0	1
1772-067-038_E02	171	219	12	Fluorescence-based	228.4862	22.57745	118.31524	13.2718	3.28292774	2.44E-04	4.72E-04	confidence	0	1
1772-067-038_E03	171	247	17	Fluorescence-based	124.76138	22.21255	15.49195	13.10096	2.43771196	1.60E-04	3.29E-04	confidence	0	1
1772-067-038_E04	162	244	49	Fluorescence-based	28.34353332	22.61376104	26.75483908	12.96839868	0.990572687	6.56332E-05	0.000161159	confidence	0	0
1772-067-038_E05	164	215	16	Fluorescence-based	31.22114654	22.52219034	41.55778858	13.22388522	1.581107598	0.000238579	0.000471794	confidence	0	0
1772-067-038_E06	163	246	11	Fluorescence-based	29.5680356	22.63170075	53.13153801	13.1914475	1.93144763	0.001902477	0.003124598	confidence	X = 268, Y = 154 (Green) | X = 163, Y = 246 (Red)	0
1772-067-038_E07	168	214	12	Fluorescence-based	419.90577	22.50028	388.11993	13.00065	4.79664927	2.44E-04	4.72E-04	confidence	0	1
1772-067-038_E08	169	242	19	Fluorescence-based	37.62858	22.54269	130.56145	13.10142	3.22182478	1.91E-06	1.05E-05	confidence	0	1
1772-067-038_E09	170	213	22	Fluorescence-based	35.22127	22.54864	47.6527	12.94593	1.80267617	2.13E-05	6.47E-05	confidence	0	1
1772-067-038_E10	163	209	49	Chip.Pattern-based	23.69776502	22.42096259	12.78095147	13.12188686	0.076580122	0.999999999	1	confidence	0	0
1772-067-038_E11	163	245	21	Fluorescence-based	216.66344	22.86937	201.27805	12.87588	3.86568901	3.19E-05	8.73E-05	confidence	0	1
1772-067-038_E12	163	210	28	Fluorescence-based	51.99081	22.32151	157.11462	13.02966	3.49441888	2.00E-06	1.05E-05	confidence	0	1
1772-067-038_F01	169	243	30	Fluorescence-based	32.71213	22.43323	111.29976	13.02233	3.00155711	9.06E-07	5.64E-06	confidence	0	1
1772-067-038_F02	168	210	17	Fluorescence-based	32.21833	22.19447	81.79177	13.21516	2.54205681	1.60E-04	3.29E-04	confidence	0	1
1772-067-038_F03	170	238	17	Fluorescence-based	35.87684	22.58735	119.47615	12.90597	3.11497162	1.60E-04	3.29E-04	confidence	0	1
1772-067-038_F04	163	236	12	Fluorescence-based	63.81517513	22.45595718	147.0746249	13.14923305	3.387528671	0.000244141	0.000471794	confidence	0	0
1772-067-038_F05	161	204	23	Fluorescence-based	34.29532	22.82945	82.65305	13.12823	2.5658377	1.43E-05	4.88E-05	confidence	0	1
1772-067-038_F06	162	241	29	Fluorescence-based	44.97201708	22.51635669	96.20327967	13.02399015	2.793108104	1.33496E-06	7.82222E-06	confidence	0	0
1772-067-038_F07	169	206	17	Fluorescence-based	37.005	22.09593	47.19533	13.12768	1.77036901	1.59E-04	3.29E-04	confidence	0	1
1772-067-038_F08	169	235	27	Fluorescence-based	37.15058	22.27234	145.38036	12.82433	3.40444097	2.96E-06	1.40E-05	confidence	0	1
1772-067-038_F09	172	202	49	Chip.Pattern-based	26.91734061	22.61020865	14.73286058	12.8728683	0.241750727	0.999999955	1	confidence	0	0
1772-067-038_F10	164	198	12	Fluorescence-based	137.11177	22.72639	264.69787	13.48381	4.19727359	2.44E-04	4.72E-04	confidence	0	1
1772-067-038_F11	162	234	24	Fluorescence-based	95.43729	22.49646	165.29454	12.99101	3.57116855	9.61E-06	3.52E-05	confidence	0	1
1772-067-038_F12	165	202	49	Chip.Pattern-based	23.28347902	22.48750692	14.96882002	13.22164182	0.167169685	0.999999988	1	confidence	0	0
1772-067-038_G01	170	232	29	Fluorescence-based	77.33304	22.37296	14.04826	12.97821	1.74478085	1.33E-06	7.82E-06	confidence	0	1
1772-067-038_G02	168	199	8	Fluorescence-based	46.04994	22.39701	118.64619	12.91343	3.10422398	3.91E-03	6.12E-03	confidence	0	1
1772-067-038_G03	164	232	20	Fluorescence-based	226.20188	22.97335	18.27331	13.08987	3.24447153	4.75E-05	1.19E-04	confidence	0	1
1772-067-038_G04	163	222	15	Fluorescence-based	253.96058	22.46773	118.81636	12.94478	3.44152369	3.05E-05	8.73E-05	confidence	0	1
1772-067-038_G05	160	194	18	Fluorescence-based	51.14284	22.69444	44.30135	13.03767	1.69025095	1.06E-04	2.36E-04	confidence	0	1
1772-067-038_G06	161	224	9	Fluorescence-based	30.8916499	22.32546853	58.4639534	13.22446544	2.063640946	0.004514955	0.007027462	confidence	0	0
1772-067-038_G07	171	195	49	Chip.Pattern-based	24.81997657	22.52247629	14.01254626	13.0440508	0.134447746	0.999999999	1	confidence	0	0
1772-067-038_G08	168	225	11	Fluorescence-based	33.06415	22.70176	146.17595	13.08722	3.38508291	1.92E-03	3.13E-03	confidence	0	1
